,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),sig
wbc_min,0.08367166496667272,1.087271845758629,0.006515744212319291,0.07090104097805161,0.09644228895529383,1.0734749905768202,1.1012460252512777,0.0,12.841459431215094,9.60465805257069e-38,122.969533354103,***
chloride_min,-0.19708034448271458,0.821124657826433,0.01542983877673114,-0.2273222727723672,-0.16683841619306197,0.7966639977998212,0.8463363545392636,0.0,-12.772676846106792,2.3300121104303377e-37,121.69100205740676,***
potassium_max,0.17962003687278447,1.1967625510799365,0.01412716875706971,0.15193129490540835,0.20730877884016058,1.1640802554405307,1.2303624230146786,0.0,12.714510597383256,4.91175008609107e-37,120.61510235377445,***
sodium_min,-0.15119604841226178,0.8596791434061312,0.015256809527066945,-0.18109884560430056,-0.121293251220223,0.8343528825047811,0.8857741671471535,0.0,-9.910069870376665,3.7638286623851617e-23,74.49214522744423,***
calcium_min,-0.1580016699210006,0.85384835610799,0.016030131398023055,-0.1894201501285705,-0.1265831897134307,0.82743878514026,0.8811008479675433,0.0,-9.856542407411984,6.422293871655352e-23,73.7212575009209,***
creatinine_max,0.11221687455253859,1.1187554639274946,0.012060434297099349,0.08857885769231222,0.13585489141276497,1.0926204107374833,1.1455156573753047,0.0,9.304546734235585,1.3456505765959405e-20,66.01025806198737,***
resp_rate_min,0.14429600265732428,1.1552260078890024,0.017597414118467044,0.10980570476409221,0.17878630055055636,1.1160612040165734,1.195765182500998,0.0,8.199841277014528,2.4070463199698422e-16,51.88358561363184,***
glucose_max,0.08058082471761456,1.0839164503429477,0.012886085561904407,0.05532456111458034,0.10583708832064878,1.056883582328964,1.1116407624906846,0.0,6.25332063259292,4.018159991605406e-10,31.212745939680378,***
map_mean,-2.482655247782801,0.08352116152614614,0.4631076986498734,-3.3903296580997813,-1.5749808374658203,0.03369756639263447,0.20701151950846344,0.0,-5.360859374656564,8.282697715565465e-08,23.52532402193221,***
temp_min,-0.07173285408285637,0.9307795165483265,0.014819423705581654,-0.10077839081743553,-0.04268731734827722,0.9041333749443748,0.9582109591731828,0.0,-4.840461782318741,1.29537767120661e-06,19.55819578806043,***
los,0.05864688457617842,1.0604007307679608,0.012660734294784915,0.03383230134056887,0.08346146781178798,1.0344111228234172,1.0870433283277625,0.0,4.632186665534531,3.618236935555509e-06,18.076281685257033,***
magnesium_max,0.04112181564595178,1.0419790271630653,0.009684857017838184,0.022139844695568945,0.06010378659633461,1.0223867498375159,1.061946756665457,0.0,4.245990990905804,2.176293749913472e-05,15.487767173849912,***
platelet_min,-0.05782520132387873,0.943814910615585,0.017457040324845238,-0.0920403716372388,-0.02361003101051866,0.9120683271101653,0.9766665051539607,0.0,-3.3124286962653486,0.0009248969940364247,10.078419678209878,***
spo2_mean,-3.848112478382355,0.021319940331845085,1.8149481118927477,-7.405345411501113,-0.2908795452635973,0.0006079940808429857,0.7476057252452423,0.0,-2.1202327786491315,0.033986419399604575,4.87889781337729,*
