Threshold,Sensitivity,Specificity,PPV,NPV,F1_Score,Balanced_Accuracy,Youden_Index,True_Positive,False_Positive,True_Negative,False_Negative,Model,AUROC
0.7000000000000001,0.18708971553610504,0.9943490054249547,0.8724489795918368,0.8555036950602878,0.3081081081081082,0.5907193604805299,0.18143872096105973,171,25,4399,743,LightGBM,0.8670045227741265
0.7500000000000001,0.1652078774617068,0.9966094032549728,0.9096385542168675,0.8524748646558391,0.2796296296296296,0.5809086403583398,0.16181728071667956,151,15,4409,763,LightGBM,0.8670045227741265
0.8,0.12253829321663019,0.9986437613019892,0.9491525423728814,0.846360153256705,0.21705426356589144,0.5605910272593096,0.1211820545186193,112,6,4418,802,LightGBM,0.8670045227741265
0.8500000000000001,0.09190371991247265,0.9990958408679927,0.9545454545454546,0.8419047619047619,0.16766467065868265,0.5454997803902327,0.09099956078046545,84,4,4420,830,LightGBM,0.8670045227741265
0.9000000000000001,0.06673960612691467,0.9995479204339964,0.9682539682539683,0.8382938388625593,0.1248720573183214,0.5331437632804555,0.06628752656091108,61,2,4422,853,LightGBM,0.8670045227741265
0.05,0.9507658643326039,0.47242314647377937,0.2713081486106775,0.9789227166276346,0.4221520524653874,0.7115945054031916,0.42318901080638316,869,2334,2090,45,XGBoost,0.8638120199745966
0.1,0.862144420131291,0.6679475587703436,0.3491360212671688,0.9591041869522883,0.49700409965310627,0.7650459894508173,0.5300919789016345,788,1469,2955,126,XGBoost,0.8638120199745966
0.15000000000000002,0.7833698030634574,0.7721518987341772,0.41531322505800466,0.945213060320974,0.5428354814253223,0.7777608508988173,0.5555217017976346,716,1008,3416,198,XGBoost,0.8638120199745966
0.2,0.7100656455142232,0.8356690777576854,0.47165697674418605,0.9331145885916204,0.5668122270742358,0.7728673616359543,0.5457347232719085,649,727,3697,265,XGBoost,0.8638120199745966
0.25,0.6466083150984683,0.8743218806509946,0.5152571926765476,0.922930088284419,0.5735080058224162,0.7604650978747314,0.5209301957494628,591,556,3868,323,XGBoost,0.8638120199745966
0.3,0.6072210065645515,0.9064195298372514,0.5727554179566563,0.9178301670862897,0.5894848645778014,0.7568202682009014,0.5136405364018028,555,414,4010,359,XGBoost,0.8638120199745966
0.35000000000000003,0.5415754923413567,0.9283453887884268,0.6096059113300493,0.9074237737516571,0.5735805330243339,0.7349604405648917,0.4699208811297835,495,317,4107,419,XGBoost,0.8638120199745966
0.4,0.4912472647702407,0.945750452079566,0.6516690856313497,0.899978489997849,0.5601996257018091,0.7184988584249034,0.4369977168498067,449,240,4184,465,XGBoost,0.8638120199745966
0.45,0.4365426695842451,0.9577305605786618,0.6808873720136519,0.8916245791245792,0.532,0.6971366150814534,0.39427323016290683,399,187,4237,515,XGBoost,0.8638120199745966
0.5,0.38840262582056895,0.9683544303797469,0.7171717171717171,0.8845756762337394,0.503903477643719,0.678378528100158,0.35675705620031595,355,140,4284,559,XGBoost,0.8638120199745966
0.55,0.3435448577680525,0.976491862567812,0.7511961722488039,0.8780487804878049,0.4714714714714715,0.6600183601679322,0.3200367203358645,314,104,4320,600,XGBoost,0.8638120199745966
0.6000000000000001,0.31181619256017507,0.983499095840868,0.7960893854748603,0.8736947791164659,0.4481132075471699,0.6476576442005215,0.29531528840104304,285,73,4351,629,XGBoost,0.8638120199745966
0.6500000000000001,0.27461706783369805,0.9880198915009042,0.8256578947368421,0.8682955899880811,0.41215106732348117,0.6313184796673011,0.2626369593346023,251,53,4371,663,XGBoost,0.8638120199745966
0.7000000000000001,0.22538293216630198,0.9918625678119349,0.8512396694214877,0.8610675039246468,0.356401384083045,0.6086227499891185,0.21724549997823694,206,36,4388,708,XGBoost,0.8638120199745966
